PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount,MS,MS_Uncertainty,MS_StationCount
1683358,1980-07-27T04:44:22Z,-41.25,0.0,175.02,0.0,20.0,1.0,ML,,,,1.7,nan,4,,,,,,
1683359,1980-07-27T12:05:11Z,-41.54,0.0,174.94,0.0,26.0,1.0,ML,,,,1.9,0.2,7,,,,,,
1561093,1980-07-27T18:29:54Z,-40.45,0.1,176.85,0.1,12.0,0.0,ML,,,,3.6,0.2,4,,,,,,
1683360,1980-07-27T20:31:10Z,-41.04,0.0,175.22,0.0,30.0,3.0,ML,,,,1.8,0.3,3,,,,,,
1583775,1980-07-28T00:22:05Z,-43.75,0.0,170.14,0.0,1.0,1.0,ML,,,,2.5,0.1,6,,,,,,
1683361,1980-07-28T04:52:20Z,-41.26,0.0,175.25,0.0,20.0,4.0,ML,,,,1.4,0.2,4,,,,,,
1583776,1980-07-28T09:36:41Z,-44.14,0.0,170.54,0.0,6.0,1.0,ML,,,,2.2,0.1,5,,,,,,
1561094,1980-07-28T11:31:46Z,-35.86,0.1,177.94,0.1,249.0,8.0,ML,,,,4.5,0.7,5,,,,,,
1583777,1980-07-28T13:19:46Z,-44.54,0.0,169.8,0.0,6.0,1.0,ML,,,,2.9,0.2,4,,,,,,
1683362,1980-07-28T16:45:19Z,-41.03,0.0,173.92,0.0,64.0,2.0,ML,,,,1.9,0.2,4,,,,,,
1561096,1980-07-28T21:50:44Z,-38.48,0.0,178.33,0.0,12.0,0.0,ML,,,,3.0,0.1,2,,,,,,
1683363,1980-07-29T02:20:27Z,-41.29,0.0,174.55,0.0,58.0,1.0,ML,,,,2.3,0.1,5,,,,,,
1583778,1980-07-29T02:22:42Z,-44.54,0.0,169.81,0.0,6.0,0.0,ML,,,,1.8,0.1,3,,,,,,
1561097,1980-07-29T21:28:08Z,-37.69,0.1,176.44,0.1,206.0,9.0,ML,,,,4.3,0.3,3,,,,,,
1683364,1980-07-30T09:03:14Z,-41.08,0.0,175.58,0.0,13.0,1.0,ML,,,,1.7,0.1,4,,,,,,
1683365,1980-07-31T00:31:00Z,-41.4,0.0,175.1,0.0,21.0,1.0,ML,,,,2.1,0.1,2,,,,,,
1683366,1980-07-31T01:42:04Z,-41.37,0.0,175.25,0.0,19.0,1.0,ML,,,,2.0,0.2,5,,,,,,
1683367,1980-07-31T07:53:44Z,-40.85,0.0,174.54,0.0,22.0,0.0,ML,,,,1.9,0.2,4,,,,,,
1561099,1980-07-31T10:15:07Z,-38.26,0.0,176.03,0.1,170.0,8.0,ML,,,,3.7,0.3,6,,,,,,
1683368,1980-07-31T11:57:38Z,-40.79,0.0,175.13,0.0,21.0,0.0,ML,,,,1.9,0.3,4,,,,,,
1561101,1980-08-01T01:20:39Z,-38.26,0.1,175.9,0.2,294.0,18.0,ML,,,,4.0,0.2,2,,,,,,
1683369,1980-08-01T02:18:16Z,-41.6,0.0,174.34,0.0,54.0,2.0,ML,,,,2.2,0.2,5,,,,,,
1683370,1980-08-01T02:18:21Z,-41.14,0.0,175.29,0.0,32.0,2.0,ML,,,,1.9,0.1,5,,,,,,
1561102,1980-08-01T12:28:51Z,-38.97,0.0,178.07,0.0,33.0,0.0,ML,,,,3.6,0.1,4,,,,,,
1683371,1980-08-01T16:15:18Z,-41.29,0.0,174.03,0.1,44.0,1.0,ML,,,,2.1,0.3,6,,,,,,
1683372,1980-08-01T20:16:55Z,-41.24,0.0,175.25,0.0,26.0,2.0,ML,,,,1.5,0.3,5,,,,,,
