PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1563671,1983-02-03T05:46:59Z,-38.6,0.0,175.8,0.0,5.0,0.0,ML,,,,2.3,nan,1,,,
1563672,1983-02-03T06:26:23Z,-38.66,0.0,175.75,0.0,5.0,0.0,ML,,,,3.6,0.1,1,,,
1563673,1983-02-03T08:44:59Z,-38.66,0.0,175.81,0.0,5.0,0.0,ML,,,,2.8,0.1,1,,,
1563674,1983-02-03T13:26:07Z,-38.67,0.0,175.82,0.0,5.0,0.0,ML,,,,2.8,0.1,1,,,
1563675,1983-02-03T14:53:29Z,-39.02,0.0,173.73,0.1,12.0,0.0,ML,,,,4.1,0.4,6,,,
1563676,1983-02-03T15:46:34Z,-45.22,0.0,168.6,0.0,12.0,0.0,ML,,,,3.0,0.3,2,,,
1563677,1983-02-03T16:45:14Z,-38.68,0.0,175.85,0.0,5.0,0.0,ML,,,,2.4,nan,1,,,
1563678,1983-02-03T17:45:52Z,-38.64,0.0,175.81,0.0,5.0,0.0,ML,,,,2.3,nan,1,,,
1563679,1983-02-03T17:59:50Z,-38.64,0.0,175.78,0.0,5.0,0.0,ML,,,,2.6,0.1,1,,,
1563680,1983-02-03T20:28:55Z,-38.67,0.0,175.61,0.1,5.0,0.0,ML,,,,2.4,0.1,2,,,
1563681,1983-02-03T20:48:54Z,-38.67,0.0,175.81,0.0,5.0,0.0,ML,,,,3.5,0.4,4,,,
1563682,1983-02-04T05:23:57Z,-38.67,0.0,175.68,0.1,5.0,0.0,ML,,,,2.5,0.1,1,,,
1584493,1983-02-04T06:40:12Z,-44.09,0.0,169.95,0.0,10.0,1.0,ML,,,,1.4,0.1,5,,,
1563683,1983-02-04T07:35:53Z,-38.6,0.0,175.8,0.0,5.0,0.0,ML,,,,2.1,nan,1,,,
1563684,1983-02-04T07:45:57Z,-38.6,0.0,175.8,0.0,5.0,0.0,ML,,,,2.3,nan,1,,,
1563685,1983-02-04T09:20:21Z,-38.67,0.0,175.82,0.0,5.0,0.0,ML,,,,2.5,0.1,1,,,
1563686,1983-02-04T09:30:07Z,-38.65,0.0,175.82,0.0,5.0,0.0,ML,,,,3.0,0.2,1,,,
1563687,1983-02-04T17:33:30Z,-38.65,0.0,175.75,0.1,5.0,0.0,ML,,,,2.6,0.2,1,,,
1563688,1983-02-05T00:53:09Z,-38.66,0.0,175.79,0.0,5.0,0.0,ML,,,,3.0,0.1,1,,,
1563689,1983-02-05T01:59:44Z,-38.65,0.0,175.79,0.0,5.0,0.0,ML,,,,2.4,0.4,1,,,
1563690,1983-02-05T04:02:38Z,-38.66,0.0,175.77,0.0,5.0,0.0,ML,,,,3.0,0.1,1,,,
1563691,1983-02-05T04:36:33Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.8,nan,1,,,
1563692,1983-02-05T04:38:23Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.5,0.1,1,,,
1563693,1983-02-05T06:00:07Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.8,0.4,1,,,
1563694,1983-02-05T11:49:09Z,-38.67,0.0,175.77,0.0,5.0,0.0,ML,,,,3.0,0.1,1,,,
1563695,1983-02-05T14:19:17Z,-40.61,0.0,175.66,0.0,9.0,2.0,ML,,,,4.5,0.3,7,,,
1686736,1983-02-05T14:59:38Z,-41.59,0.0,173.87,0.0,14.0,2.0,ML,,,,2.3,0.2,5,,,
1563696,1983-02-05T21:05:56Z,-40.63,0.0,175.67,0.0,12.0,2.0,ML,,,,2.9,nan,1,,,
1563697,1983-02-05T21:23:01Z,-38.68,0.0,175.77,0.0,5.0,0.0,ML,,,,3.1,0.1,1,,,
1563698,1983-02-05T23:36:09Z,-38.66,0.0,175.73,0.0,5.0,0.0,ML,,,,2.4,0.1,1,,,
1563699,1983-02-06T02:02:51Z,-38.66,0.0,175.77,0.0,5.0,0.0,ML,,,,3.0,nan,1,,,
1686737,1983-02-06T02:24:50Z,-41.31,0.0,175.68,0.0,17.0,1.0,ML,,,,2.1,0.1,5,,,
1563700,1983-02-06T03:24:31Z,-38.67,0.0,175.78,0.0,5.0,0.0,ML,,,,2.5,0.1,1,,,
1563701,1983-02-06T04:05:53Z,-37.22,0.1,179.91,0.1,33.0,0.0,ML,,,,3.6,0.1,5,,,
1563702,1983-02-06T04:39:39Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.5,0.1,1,,,
1563703,1983-02-06T05:03:50Z,-40.1,0.0,177.13,0.0,12.0,0.0,ML,,,,3.7,0.2,9,,,
1563704,1983-02-06T06:20:06Z,-38.64,0.0,175.79,0.0,5.0,0.0,ML,,,,2.9,0.1,1,,,
1563705,1983-02-06T06:58:51Z,-43.12,0.0,174.46,0.0,33.0,0.0,ML,,,,3.5,0.2,4,,,
1563706,1983-02-06T11:57:04Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,3.0,0.2,1,,,
1563707,1983-02-06T17:28:44Z,-38.67,0.0,175.78,0.0,5.0,0.0,ML,,,,2.6,0.2,1,,,
