PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mb,mb_Uncertainty,mb_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2016p504753,2016-07-05T18:12:54Z,-38.07,1.8,176.72,1.8,5.0,2.0,M,,,,,,,2.2,0.2,12,1.8,nan,9,,,,,,,,,,1.8,0.2,9
2016p504912,2016-07-05T19:37:33Z,-41.77,3.6,171.97,3.4,5.0,5.0,M,,,,,,,3.3,0.2,18,3.2,nan,17,,,,,,,,,,3.2,0.1,17
2016p504951,2016-07-05T19:57:54Z,-38.79,5.0,178.33,6.5,24.0,4.0,M,,,,,,,2.5,0.2,14,2.3,nan,11,,,,,,,,,,2.3,0.2,11
2016p505074,2016-07-05T21:03:45Z,-38.2,4.2,178.88,5.2,27.0,6.0,M,,,,,,,3.4,0.2,23,3.1,nan,21,,,,,,,,,,3.1,0.2,21
2016p505146,2016-07-05T21:42:01Z,-37.0,8.2,177.62,9.1,88.0,13.0,M,,,,,,,2.5,0.1,8,2.2,nan,4,,,,,,,,,,2.2,0.2,4
2016p505251,2016-07-05T22:37:53Z,-37.41,10.2,178.75,8.3,13.0,7.0,M,,,,,,,2.9,0.2,7,2.5,nan,6,,,,,,,,,,2.5,0.1,6
2016p505337,2016-07-05T23:24:07Z,-39.42,3.9,175.75,1.7,18.0,3.0,M,,,,,,,1.1,0.3,12,0.9,nan,7,,,,,,,,,,0.9,0.2,7
2016p505395,2016-07-05T23:54:37Z,-40.25,3.5,174.2,5.4,27.0,18.0,M,,,,,,,2.5,0.2,6,2.4,nan,5,,,,,,,,,,2.4,0.4,5
2016p505407,2016-07-06T00:01:23Z,-43.21,3.4,173.78,4.5,30.0,6.0,M,,,,,,,2.9,0.2,15,2.7,nan,12,,,,,,,,,,2.7,0.2,12
2016p505539,2016-07-06T01:11:18Z,-39.42,5.4,175.74,2.3,19.0,3.0,M,,,,,,,1.2,0.3,13,0.8,nan,8,,,,,,,,,,0.8,0.2,8
2016p505837,2016-07-06T03:50:20Z,-44.58,2.6,168.72,2.7,5.0,0.0,M,,,,,,,2.5,0.2,7,2.6,nan,2,,,,,,,,,,2.6,0.3,2
2016p505918,2016-07-06T04:33:08Z,-44.54,2.9,168.8,3.2,5.0,0.0,M,,,,,,,2.6,0.2,7,2.3,nan,3,,,,,,,,,,2.3,0.3,3
2016p505965,2016-07-06T04:58:14Z,-39.36,2.5,177.31,2.7,25.0,4.0,M,,,,,,,3.3,0.3,19,2.9,nan,20,,,,,,,,,,2.9,0.3,20
2016p506190,2016-07-06T06:58:22Z,-39.18,1.1,175.41,1.4,6.0,3.0,M,,,,,,,0.8,0.1,10,0.4,nan,6,,,,,,,,,,0.4,0.1,6
2016p506195,2016-07-06T07:01:13Z,-39.41,4.7,175.72,3.0,16.0,3.0,M,,,,,,,1.0,0.3,10,0.8,nan,7,,,,,,,,,,0.8,0.3,7
2016p506220,2016-07-06T07:14:17Z,-37.41,5.4,177.63,5.6,35.0,9.0,M,,,,,,,2.6,0.2,13,2.3,nan,10,,,,,,,,,,2.3,0.1,10
2016p506223,2016-07-06T07:15:55Z,-39.23,5.8,175.22,6.1,20.0,7.0,M,,,,,,,1.3,0.2,11,1.0,nan,8,,,,,,,,,,1.0,0.3,8
2016p506319,2016-07-06T08:06:48Z,-44.56,3.7,168.19,3.1,5.0,0.0,M,,,,,,,3.0,0.1,12,2.7,nan,5,,,,,,,,,,2.7,0.1,5
2016p506464,2016-07-06T09:24:14Z,-40.49,4.9,173.4,5.0,145.0,8.0,M,,,,,,,,,,2.2,nan,3,,,,,,,,,,2.2,0.7,3
2016p506558,2016-07-06T10:14:08Z,-42.4,3.3,172.84,4.1,37.0,9.0,M,,,,,,,2.4,0.1,17,2.2,nan,3,,,,,,,,,,2.2,0.4,3
2016p506986,2016-07-06T14:02:21Z,-39.16,1.6,175.38,2.0,7.0,3.0,M,,,,,,,1.2,0.1,16,0.9,nan,11,,,,,,,,,,0.9,0.2,11
2016p507297,2016-07-06T16:48:10Z,-36.88,5.5,177.21,4.3,12.0,0.0,M,,,,,,,2.6,0.2,12,2.3,nan,8,,,,,,,,,,2.3,0.2,8
2016p507327,2016-07-06T17:04:07Z,-37.54,8.6,179.68,7.7,33.0,0.0,M,,,,,,,2.9,0.2,12,2.6,nan,9,,,,,,,,,,2.6,0.1,9
2016p507412,2016-07-06T17:49:27Z,-39.7,2.0,176.71,2.7,19.0,4.0,M,,,,,,,2.3,0.4,14,2.0,nan,13,,,,,,,,,,2.0,0.3,13
2016p507692,2016-07-06T20:18:49Z,-40.92,2.2,175.44,2.3,19.0,4.0,M,,,,,,,3.0,0.2,18,2.6,nan,18,,,,,,,,,,2.6,0.2,18
2016p507776,2016-07-06T21:02:57Z,-35.05,8.8,179.73,14.4,33.0,0.0,M,,,,,,,4.1,0.2,15,3.9,nan,12,,,,,,,,,,3.9,0.1,12
2016p507840,2016-07-06T21:37:29Z,-42.16,1.7,172.66,2.4,5.0,0.0,M,,,,,,,2.9,0.2,18,2.8,nan,10,,,,,,,,,,2.8,0.2,10
2016p507904,2016-07-06T22:11:30Z,-39.38,3.3,177.59,3.5,24.0,5.0,M,,,,,,,2.9,0.4,21,2.6,nan,20,,,,,,,,,,2.6,0.3,20
2016p507929,2016-07-06T22:24:57Z,-43.44,2.6,172.81,3.2,7.0,3.0,M,,,,,,,3.0,0.2,17,2.6,nan,10,,,,,,,,,,2.6,0.1,10
2016p508093,2016-07-06T23:52:10Z,-39.9,2.1,176.77,3.6,13.0,6.0,M,,,,,,,2.5,0.2,16,2.3,nan,15,,,,,,,,,,2.3,0.2,15
