PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1681832,1979-07-26T05:07:57Z,-41.4,0.0,174.91,0.0,27.0,1.0,ML,,,,,,,2.0,0.1,6,,,
1560153,1979-07-26T11:01:48Z,-37.21,0.1,177.82,0.0,12.0,0.0,ML,,,,,,,4.2,0.3,13,,,
1681833,1979-07-26T15:14:49Z,-41.24,0.0,175.18,0.0,20.0,1.0,ML,,,,,,,1.1,0.1,7,,,
1681834,1979-07-26T15:49:45Z,-41.65,0.0,175.35,0.0,26.0,2.0,ML,,,,,,,1.8,0.3,6,,,
1681835,1979-07-26T21:27:12Z,-41.08,0.0,174.51,0.0,33.0,0.0,ML,,,,,,,2.1,0.1,10,,,
1681836,1979-07-26T22:03:45Z,-40.62,0.0,174.51,0.0,47.0,3.0,ML,,,,,,,2.1,0.1,5,,,
1681837,1979-07-26T22:37:21Z,-41.39,0.0,174.97,0.0,27.0,1.0,Md,,,,,,,,,,2.5,0.2,6
1560154,1979-07-26T23:26:43Z,-35.26,0.2,178.47,0.4,269.0,31.0,ML,,,,,,,4.4,0.3,5,,,
1560155,1979-07-27T14:21:09Z,-45.46,0.0,169.4,0.0,12.0,0.0,ML,,,,,,,3.3,0.2,5,,,
1681838,1979-07-27T18:29:36Z,-41.3,0.0,175.19,0.0,23.0,2.0,ML,,,,,,,1.8,0.2,6,,,
