PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,MS,MS_Uncertainty,MS_StationCount,Md,Md_Uncertainty,Md_StationCount
1564968,1984-02-09T15:00:30Z,-39.13,0.0,176.1,0.0,84.0,3.0,ML,,,,4.5,0.2,5,,,,,,
1564969,1984-02-09T21:30:31Z,-39.33,0.0,175.43,0.0,20.0,1.0,ML,,,,3.9,0.5,4,,,,,,
1564970,1984-02-10T20:04:19Z,-41.37,0.0,174.65,0.0,19.0,1.0,ML,,,,3.3,0.4,4,,,,,,
1687184,1984-02-10T22:26:02Z,-40.56,0.0,174.4,0.0,72.0,2.0,ML,,,,2.7,0.1,5,,,,2.8,0.1,2
1564971,1984-02-11T09:19:37Z,-41.14,0.0,174.69,0.0,27.0,1.0,ML,,,,4.2,0.4,4,,,,,,
1687186,1984-02-11T10:25:20Z,-41.36,0.0,175.11,0.0,27.0,1.0,ML,,,,2.1,0.1,4,,,,,,
1687187,1984-02-11T17:43:02Z,-41.15,0.0,174.68,0.0,31.0,1.0,ML,,,,2.2,0.2,4,,,,,,
1564972,1984-02-12T07:25:09Z,-41.39,0.0,174.64,0.0,15.0,3.0,ML,,,,3.2,0.5,2,,,,,,
1564973,1984-02-12T11:38:46Z,-38.62,0.0,177.47,0.0,48.0,0.0,ML,,,,3.5,0.3,4,,,,,,
1564974,1984-02-13T09:31:10Z,-39.46,0.0,174.23,0.0,184.0,4.0,ML,,,,3.6,0.3,2,,,,,,
1564975,1984-02-14T05:30:54Z,-40.12,0.0,173.74,0.0,118.0,8.0,ML,,,,4.3,0.2,2,,,,,,
1564976,1984-02-14T16:58:09Z,-47.43,0.1,165.51,0.2,33.0,0.0,ML,,,,4.5,0.2,2,,,,,,
1564977,1984-02-14T23:01:51Z,-45.01,0.1,167.59,0.1,80.0,13.0,ML,,,,3.5,0.3,3,,,,,,
1564978,1984-02-15T02:03:38Z,-37.83,0.0,176.28,0.0,170.0,2.0,ML,,,,3.6,0.4,4,,,,,,
1687189,1984-02-15T04:17:49Z,-41.04,0.0,174.71,0.0,32.0,1.0,ML,,,,2.5,0.1,3,,,,2.5,0.2,5
1687190,1984-02-15T14:56:40Z,-41.37,0.0,174.36,0.0,35.0,0.0,ML,,,,2.4,0.2,5,,,,,,
1564979,1984-02-16T12:43:59Z,-41.3,0.0,172.02,0.1,6.0,3.0,ML,,,,3.8,0.4,5,,,,,,
1564980,1984-02-17T00:55:42Z,-40.2,0.0,174.22,0.0,87.0,9.0,ML,,,,3.4,0.2,2,,,,,,
1564981,1984-02-17T07:30:56Z,-40.17,0.0,173.81,0.0,142.0,10.0,ML,,,,3.5,0.5,2,,,,,,
1564982,1984-02-17T08:57:37Z,-45.05,0.0,167.67,0.0,108.0,5.0,ML,,,,3.4,0.2,2,,,,,,
1687191,1984-02-17T19:32:28Z,-41.24,0.0,174.19,0.0,71.0,1.0,ML,,,,2.7,0.1,5,,,,,,
1564983,1984-02-17T19:56:07Z,-37.23,0.0,176.75,0.0,189.0,0.0,ML,,,,3.9,0.6,2,,,,,,
