PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1559112,1978-02-05T11:40:29Z,-37.91,0.0,176.11,0.1,239.0,5.0,ML,,,,4.3,0.3,6,,,
1679557,1978-02-05T18:34:11Z,-41.17,0.0,174.81,0.0,28.0,1.0,ML,,,,2.0,0.1,4,,,
1679558,1978-02-06T08:59:59Z,-41.56,0.0,174.14,0.0,23.0,2.0,ML,,,,2.3,0.3,5,,,
1559115,1978-02-06T22:28:22Z,-40.43,0.0,175.79,0.0,33.0,0.0,ML,,,,3.8,0.4,6,,,
1559116,1978-02-07T00:16:10Z,-37.96,0.2,179.23,0.5,84.0,32.0,ML,,,,4.3,0.2,6,,,
1559117,1978-02-07T00:20:52Z,-37.86,0.1,179.07,0.1,33.0,0.0,ML,,,,3.8,0.2,6,,,
1559118,1978-02-07T02:41:54Z,-37.98,0.0,178.74,0.1,12.0,0.0,ML,,,,4.8,0.3,9,,,
1679559,1978-02-07T11:50:26Z,-41.13,0.0,175.14,0.0,16.0,1.0,ML,,,,2.1,0.2,5,,,
1679560,1978-02-07T13:27:51Z,-41.36,0.0,175.12,0.0,25.0,1.0,ML,,,,1.6,0.2,6,,,
1582880,1978-02-07T19:40:47Z,-44.79,0.0,169.71,0.0,2.0,0.0,ML,,,,1.7,0.1,3,,,
1679561,1978-02-07T19:50:24Z,-41.39,0.0,175.1,0.0,27.0,1.0,ML,,,,1.9,0.1,7,,,
1559119,1978-02-08T16:00:08Z,-37.43,0.1,176.54,0.1,257.0,8.0,ML,,,,4.3,0.3,6,,,
1679562,1978-02-09T01:33:48Z,-41.36,0.0,175.1,0.0,38.0,1.0,ML,,,,2.0,0.3,6,,,
1559122,1978-02-09T07:14:56Z,-37.96,0.0,176.38,0.0,12.0,0.0,ML,,,,3.4,0.3,4,,,
1679563,1978-02-10T08:32:50Z,-41.36,0.0,175.12,0.0,26.0,1.0,Md,,,,,,,2.7,0.2,6
1582881,1978-02-10T13:54:24Z,-44.44,0.0,169.93,0.0,1.0,0.0,ML,,,,1.8,0.1,5,,,
1679564,1978-02-11T12:23:50Z,-41.65,0.0,175.44,0.0,30.0,0.0,ML,,,,2.4,0.1,5,,,
1679565,1978-02-12T01:48:37Z,-41.4,0.0,174.78,0.0,32.0,2.0,Md,,,,,,,3.0,0.2,5
1559126,1978-02-12T11:27:49Z,-37.68,0.1,176.46,0.1,216.0,11.0,ML,,,,3.8,0.4,5,,,
1679566,1978-02-12T23:21:48Z,-40.92,0.0,175.09,0.0,27.0,0.0,ML,,,,2.0,0.2,4,,,
1679567,1978-02-12T23:57:21Z,-41.12,0.0,175.36,0.0,24.0,1.0,ML,,,,2.2,0.1,5,,,
1679568,1978-02-13T02:56:19Z,-41.42,0.0,174.95,0.0,29.0,2.0,ML,,,,1.9,0.2,7,,,
1559128,1978-02-13T09:35:17Z,-38.89,0.0,176.29,0.0,12.0,0.0,ML,,,,3.5,0.2,7,,,
1679569,1978-02-13T12:31:29Z,-40.95,0.0,175.16,0.0,30.0,1.0,ML,,,,2.4,0.1,6,2.3,nan,1
1679570,1978-02-13T14:09:41Z,-41.64,0.0,174.59,0.0,30.0,2.0,ML,,,,2.2,0.1,6,2.2,nan,1
1679571,1978-02-13T17:31:54Z,-41.62,0.0,174.66,0.0,31.0,2.0,ML,,,,2.0,0.1,7,,,
1679572,1978-02-13T19:25:10Z,-41.36,0.0,175.1,0.0,25.0,1.0,ML,,,,1.9,0.2,8,,,
1679573,1978-02-14T03:14:14Z,-41.6,0.0,174.66,0.0,32.0,1.0,Md,,,,,,,3.2,0.1,4
1679574,1978-02-14T03:41:14Z,-41.39,0.0,174.49,0.0,29.0,1.0,Md,,,,,,,3.1,0.0,7
1559129,1978-02-14T14:58:25Z,-43.65,0.0,168.83,0.0,12.0,0.0,ML,,,,4.0,0.2,5,,,
