publicid,cell_id,total_reports_from_counts,mean_mmi,median_mmi,max_mode_count,n_modes,mode_mmi,skewness,reported_mmi,report_count,mean_minus_median,api_median_minus_reconstructed,mode_is_tied
2026p576643,2026p576643_cell_1053,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1054,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1055,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1056,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1057,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1058,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1059,3,3.3333333333333335,3,2,1,3,0.7071067811865465,3,3,0.3333333333333335,0,FALSE
2026p576643,2026p576643_cell_106,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1060,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1061,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1062,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1063,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1064,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1065,5,3.6,4,3,1,4,-0.4082482904638635,4,5,-0.3999999999999999,0,FALSE
2026p576643,2026p576643_cell_1066,56,4,4,32,1,4,0,4,56,0,0,FALSE
2026p576643,2026p576643_cell_1067,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1068,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1069,3,3,3,3,1,3,NA,3,3,0,0,FALSE
2026p576643,2026p576643_cell_107,2,5.5,5.5,1,2,NA,0,5,2,0,-0.5,TRUE
2026p576643,2026p576643_cell_1070,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1071,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1072,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1073,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1074,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1075,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1076,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1077,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1078,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1079,10,3.6,4,6,1,4,-0.4082482904638635,4,10,-0.3999999999999999,0,FALSE
2026p576643,2026p576643_cell_108,1,3,3,1,1,3,NA,3,1,0,0,FALSE
